AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
MONO 251 [ -167, 85, -1, 54, 55, -26, -28, 2, 1, 54, -26, -2 ]
MONO 252 [ -167, 85, -1, 54, 55, -26, -27, 0, 2, 54, -25, -3 ]
MONO 253 [ -167, 85, -1, 57, 55, -29, -27, 2, 0, 53, -24, -3 ]
MONO 254 [ -167, 86, 0, 54, 55, -26, -27, 0, 0, 54, -26, -2 ]
MONO 255 [ -166, 82, 1, 52, 54, -21, -27, -1, 1, 54, -25, -3 ]
MONO 256 [ -166, 83, 0, 52, 54, -22, -26, 0, 0, 54, -26, -2 ]
MONO 257 [ -166, 83, 0, 54, 54, -26, -27, 0, 1, 56, -27, -1 ]
MONO 258 [ -166, 83, 0, 54, 54, -25, -25, -1, -1, 56, -28, 0 ]
MONO 259 [ -166, 83, 0, 54, 55, -26, -27, 0, 0, 57, -27, -2 ]
MONO 260 [ -166, 83, 0, 54, 59, -26, -29, 0, 0, 53, -25, -2 ]
MONO 261 [ -166, 83, 0, 55, 54, -27, -26, 0, 0, 53, -23, -2 ]
MONO 262 [ -166, 83, 0, 55, 55, -28, -28, 1, 1, 54, -22, -4 ]
MONO 263 [ -166, 83, 0, 55, 55, -28, -27, 3, 0, 54, -25, -3 ]
MONO 264 [ -166, 83, 0, 56, 56, -28, -28, 0, 0, 52, -22, -2 ]
MONO 265 [ -166, 84, -1, 55, 55, -30, -28, 5, 1, 54, -25, -3 ]
MONO 266 [ -166, 87, -2, 55, 55, -28, -28, 1, 1, 54, -26, -2 ]
MONO 267 [ -165, 81, 1, 50, 54, -16, -27, -4, 1, 55, -27, -2 ]
MONO 268 [ -164, 82, 1, 54, 54, -27, -26, 1, 0, 54, -26, -2 ]
MONO 269 [ -164, 86, -2, 54, 54, -27, -27, 0, 0, 54, -27, 0 ]
MONO 270 [ -163, 82, 0, 55, 54, -28, -28, 1, 2, 54, -25, -3 ]
MONO 271 [ -163, 82, 0, 55, 54, -27, -26, 0, 0, 54, -26, -2 ]
MONO 272 [ -162, 81, 0, 53, 53, -25, -25, 0, 0, 54, -26, -2 ]
MONO 273 [ -162, 81, 0, 54, 53, -27, -26, 1, 1, 51, -21, -4 ]
MONO 274 [ -162, 81, 1, 54, 53, -27, -28, 0, 2, 51, -19, -5 ]
MONO 275 [ -162, 82, -1, 53, 53, -28, -28, 3, 3, 54, -25, -3 ]
MONO 276 [ -162, 82, 0, 53, 53, -26, -26, 0, 0, 54, -25, -2 ]
MONO 277 [ -162, 82, 0, 54, 52, -27, -25, 0, 0, 50, -21, -2 ]
MONO 278 [ -162, 82, 0, 54, 53, -28, -26, 3, 0, 51, -23, -3 ]
MONO 279 [ -162, 83, -1, 52, 49, -25, -16, 0, -4, 53, -27, -1 ]
